customer_id,name,lat,lon,address
C1,Customer 1,18.338222475346964,72.75166494254965,Address 1
C2,Customer 2,18.950948474921127,72.86569527664962,Address 2
C3,Customer 3,18.941846022203823,72.5208057907865,Address 3
C4,Customer 4,18.942788407695858,73.62553865382944,Address 4
C5,Customer 5,19.879371530746614,72.88119154819107,Address 5
C6,Customer 6,19.300199091634763,72.14698484835993,Address 6
C7,Customer 7,18.74551630911484,72.71578336129691,Address 7
C8,Customer 8,19.738559295826082,72.40331193568856,Address 8
C9,Customer 9,19.04531333634074,73.80075637894936,Address 9
C10,Customer 10,19.11124358214374,73.09231417366536,Address 10
C11,Customer 11,18.389814578454835,73.49807871863791,Address 11
C12,Customer 12,19.262409333859548,72.96337495103221,Address 12
C13,Customer 13,18.791600111733878,72.50533070470382,Address 13
C14,Customer 14,18.92591446637492,73.22235545404045,Address 14
C15,Customer 15,19.755105109329815,72.89751301865957,Address 15
C16,Customer 16,19.38224519862223,73.04106666539981,Address 16
C17,Customer 17,19.30191839328522,73.20978648579519,Address 17
C18,Customer 18,19.69520964715079,72.08534746958213,Address 18
C19,Customer 19,19.552934616534337,72.39040596302502,Address 19
C20,Customer 20,18.522927777920255,73.01544175455582,Address 20
C21,Customer 21,18.34474765607175,73.61021203150243,Address 21
C22,Customer 22,19.306160746742034,73.30241782198662,Address 22
C23,Customer 23,18.20080186426288,73.05721640823857,Address 23
C24,Customer 24,19.178709845703853,72.22937720787372,Address 24
C25,Customer 25,18.448493561098946,73.24940454422611,Address 25
C26,Customer 26,18.748194957913935,73.24263838886714,Address 26
C27,Customer 27,19.174365347582203,72.66659338867845,Address 27
C28,Customer 28,19.844955612737145,73.52721974914732,Address 28
C29,Customer 29,18.818068780514725,72.01006058003165,Address 29
C30,Customer 30,18.722875528444476,72.68414946604096,Address 30
C31,Customer 31,19.446717945360323,73.8193838466824,Address 31
C32,Customer 32,18.81538695483108,73.3768073014604,Address 32
C33,Customer 33,19.244533139005952,73.24212797239419,Address 33
C34,Customer 34,18.44497905899774,72.68546232746556,Address 34
C35,Customer 35,18.6072747982774,72.58010755288845,Address 35
C36,Customer 36,19.09974546312696,73.19445574970663,Address 36
C37,Customer 37,18.363189547374272,72.17602580788498,Address 37
C38,Customer 38,18.754008585143538,73.18483620853698,Address 38
C39,Customer 39,19.702740870857024,72.97894300507853,Address 39
C40,Customer 40,19.717113620786993,72.65877496529603,Address 40
C41,Customer 41,18.744616306036463,72.60065497934583,Address 41
C42,Customer 42,18.481071407754264,73.50334801631526,Address 42
C43,Customer 43,18.78419694668607,72.97725629254893,Address 43
C44,Customer 44,19.21807945467982,72.91863466638718,Address 44
C45,Customer 45,18.176490286277645,73.80605191001816,Address 45
C46,Customer 46,19.809158926441317,72.32191142092864,Address 46
C47,Customer 47,18.700666581280274,72.91573959879848,Address 47
C48,Customer 48,19.802954569176606,73.7970895100131,Address 48
C49,Customer 49,18.637455792779647,73.00004749844466,Address 49
C50,Customer 50,19.631227601673412,72.67689590049177,Address 50
C51,Customer 51,19.49395184373281,72.23338715217794,Address 51
C52,Customer 52,19.258137876595928,73.5732137803328,Address 52
C53,Customer 53,19.950566551275266,72.07806810728148,Address 53
C54,Customer 54,18.946398601300395,72.31603157875958,Address 54
C55,Customer 55,18.986714074771168,72.96849926242456,Address 55
C56,Customer 56,18.34043234461957,72.49152931090238,Address 56
C57,Customer 57,19.849390200503098,73.00887712041956,Address 57
C58,Customer 58,18.998969228794493,73.35965668169126,Address 58
C59,Customer 59,19.51346658679624,72.01954202301576,Address 59
C60,Customer 60,19.453480050360387,73.5226066530783,Address 60
C61,Customer 61,18.471767330849847,73.41188126218226,Address 61
C62,Customer 62,18.689899500296818,72.50979612080187,Address 62
C63,Customer 63,19.37491559561865,72.1389507346423,Address 63
C64,Customer 64,19.37421196448224,73.61502153528394,Address 64
C65,Customer 65,19.431076723706127,72.76426240545092,Address 65
C66,Customer 66,18.96424567145482,73.38165162242986,Address 66
C67,Customer 67,19.19472954080685,72.08859663642717,Address 67
C68,Customer 68,19.22553078998934,73.47622256496545,Address 68
C69,Customer 69,18.781294885683092,73.69052944132207,Address 69
C70,Customer 70,19.529482736164322,73.01849643388935,Address 70
C71,Customer 71,19.531159420465784,72.07765591090916,Address 71
C72,Customer 72,19.726042642358262,73.4888841040851,Address 72
C73,Customer 73,19.817352686183387,72.17172237944685,Address 73
C74,Customer 74,18.31954746521603,72.1903226224585,Address 74
C75,Customer 75,18.89400189936658,72.73380621638691,Address 75
C76,Customer 76,19.188537085989303,72.15957936576663,Address 76
C77,Customer 77,18.535908299204824,73.47014054423757,Address 77
C78,Customer 78,19.018097733747084,73.46309511922016,Address 78
C79,Customer 79,18.185060680710862,72.97577853993829,Address 79
C80,Customer 80,19.857254450551988,73.03391677083964,Address 80
C81,Customer 81,18.544402567412366,73.29166036674206,Address 81
